;DEP;REG;LIBCOM;score_competence_administratives_region;score_competence_administratives_departement
26982;68;24;Saint-Lubin-en-Vergonnois;37.0;53.0
26983;68;24;Saint-Marc-du-Cor;43.0;42.0
26984;68;24;Saint-Martin-des-Bois;35.0;39.0
26985;68;24;Saint-Ouen;32.0;41.0
26986;68;24;Saint-Rimay;30.0;35.0
26987;68;24;Saint-Romain-sur-Cher;34.0;51.0
26988;68;24;Saint-Sulpice-de-Pommeray;36.0;43.0
26989;68;24;Saint-Viâtre;41.0;41.0
26990;68;24;Salbris;39.0;38.0
26991;68;24;Sambin;44.0;47.0
26992;68;24;Santenay;41.0;41.0
26993;68;24;Sargé-sur-Braye;38.0;48.0
26994;68;24;Sasnières;23.0;42.0
26995;68;24;Sassay;50.0;54.0
26996;68;24;Savigny-sur-Braye;35.0;54.0
26997;68;24;Seigy;38.0;42.0
26998;68;24;Selles-Saint-Denis;36.0;42.0
26999;68;24;Selles-sur-Cher;41.0;43.0
27000;68;24;Selommes;44.0;40.0
27001;68;24;Séris;44.0;44.0
27002;68;24;Seur;39.0;38.0
27003;68;24;Soings-en-Sologne;42.0;44.0
27004;68;24;Couëtron-au-Perche;36.0;43.0
27005;68;24;Souesmes;26.0;35.0
27006;68;24;Sougé;42.0;39.0
27007;68;24;Souvigny-en-Sologne;34.0;27.0
27008;68;24;Suèvres;46.0;34.0
27009;68;24;Talcy;34.0;33.0
27010;68;24;Le Temple;45.0;33.0
27011;68;24;Ternay;42.0;38.0
27012;68;24;Theillay;41.0;39.0
27013;68;24;Thenay;38.0;44.0
27014;68;24;Thésée;39.0;52.0
27015;68;24;Thoré-la-Rochette;41.0;34.0
27016;68;24;Thoury;47.0;53.0
27017;68;24;Tourailles;30.0;47.0
27018;68;24;Tour-en-Sologne;42.0;36.0
27019;68;24;Tréhet;44.0;46.0
27020;68;24;Troo;30.0;42.0
27021;68;24;Valaire;44.0;42.0
27022;68;24;Vallières-les-Grandes;32.0;47.0
27023;68;24;Veilleins;42.0;51.0
27024;68;24;Vendôme;50.0;36.0
27025;68;24;Vernou-en-Sologne;44.0;40.0
27026;68;24;Vievy-le-Rayé;33.0;45.0
27027;68;24;Villavard;29.0;40.0
27028;68;24;La Ville-aux-Clercs;38.0;43.0
27029;68;24;Villebarou;49.0;45.0
27030;68;24;Villebout;33.0;40.0
27031;68;24;Villechauve;39.0;39.0
27032;68;24;Villedieu-le-Château;24.0;47.0
27033;68;24;Villefranche-sur-Cher;44.0;38.0
27034;68;24;Villefrancoeur;43.0;43.0
27035;68;24;Villeherviers;30.0;46.0
27036;68;24;Villemardy;51.0;40.0
27037;68;24;Villeneuve-Frouville;40.0;42.0
27038;68;24;Villeny;40.0;44.0
27039;68;24;Villeporcher;37.0;44.0
27040;68;24;Villerable;43.0;48.0
27041;68;24;Villerbon;43.0;47.0
27042;68;24;Villermain;38.0;50.0
27043;68;24;Villeromain;35.0;35.0
27044;68;24;Villetrun;40.0;40.0
27045;68;24;Villexanton;61.0;36.0
27046;68;24;Villiersfaux;33.0;43.0
27047;68;24;Villiers-sur-Loir;39.0;45.0
27048;68;24;Vineuil;44.0;47.0
27049;68;24;Vouzon;47.0;52.0
27050;68;24;Yvoy-le-Marron;43.0;49.0
27051;68;24;Adon;44.0;47.0
27052;68;24;Aillant-sur-Milleron;48.0;45.0
27053;68;24;Amilly;45.0;40.0
27054;68;24;Andonville;42.0;43.0
27055;68;24;Ardon;50.0;46.0
27056;68;24;Artenay;53.0;49.0
27057;68;24;Aschères-le-Marché;44.0;53.0
27058;68;24;Ascoux;55.0;51.0
27059;68;24;Attray;34.0;44.0
27060;68;24;Audeville;47.0;52.0
27061;68;24;Augerville-la-Rivière;36.0;35.0
27062;68;24;Aulnay-la-Rivière;39.0;38.0
27063;68;24;Autruy-sur-Juine;36.0;45.0
27064;68;24;Autry-le-Châtel;41.0;35.0
27065;68;24;Auvilliers-en-Gâtinais;31.0;47.0
27066;68;24;Auxy;40.0;51.0
27067;68;24;Baccon;41.0;34.0
27068;68;24;Le Bardon;42.0;51.0
27069;68;24;Barville-en-Gâtinais;41.0;50.0
27070;68;24;Batilly-en-Gâtinais;49.0;42.0
27071;68;24;Batilly-en-Puisaye;38.0;43.0
27072;68;24;Baule;46.0;39.0
27073;68;24;Bazoches-les-Gallerandes;49.0;39.0
27074;68;24;Bazoches-sur-le-Betz;35.0;33.0
27075;68;24;Beauchamps-sur-Huillard;34.0;35.0
27076;68;24;Beaugency;49.0;36.0
27077;68;24;Beaulieu-sur-Loire;42.0;43.0
27078;68;24;Beaune-la-Rolande;46.0;44.0
27079;68;24;Bellegarde;61.0;42.0
27080;68;24;Le Bignon-Mirabeau;54.0;36.0
27081;68;24;Boësses;38.0;45.0
27082;68;24;Boigny-sur-Bionne;45.0;40.0
27083;68;24;Boiscommun;39.0;29.0
27084;68;24;Boismorand;33.0;30.0
27085;68;24;Boisseaux;56.0;42.0
27086;68;24;Bondaroy;32.0;56.0
27087;68;24;Bonnée;52.0;45.0
27088;68;24;Bonny-sur-Loire;40.0;38.0
27089;68;24;Bordeaux-en-Gâtinais;37.0;40.0
27090;68;24;Les Bordes;48.0;35.0
27091;68;24;Bou;43.0;48.0
27092;68;24;Bougy-lez-Neuville;49.0;18.0
27093;68;24;Bouilly-en-Gâtinais;38.0;38.0
27094;68;24;Boulay-les-Barres;107.0;39.0
27095;68;24;Bouzonville-aux-Bois;42.0;38.0
27096;68;24;Bouzy-la-Forêt;35.0;31.0
27097;68;24;Boynes;42.0;51.0
27098;68;24;Bray-Saint-Aignan;43.0;53.0
27099;68;24;Breteau;45.0;43.0
27100;68;24;Briare;39.0;49.0
27101;68;24;Briarres-sur-Essonne;49.0;38.0
27102;68;24;Bricy;37.0;46.0
27103;68;24;Bromeilles;43.0;49.0
27104;68;24;Bucy-le-Roi;53.0;46.0
27105;68;24;Bucy-Saint-Liphard;28.0;48.0
27106;68;24;La Bussière;45.0;40.0
27107;68;24;Cepoy;43.0;111.0
27108;68;24;Cercottes;47.0;45.0
27109;68;24;Cerdon;40.0;29.0
27110;68;24;Cernoy-en-Berry;38.0;49.0
27111;68;24;Césarville-Dossainville;58.0;45.0
27112;68;24;Chailly-en-Gâtinais;39.0;49.0
27113;68;24;Chaingy;47.0;43.0
27114;68;24;Châlette-sur-Loing;52.0;34.0
27115;68;24;Chambon-la-Forêt;38.0;36.0
27116;68;24;Champoulet;20.0;47.0
27117;68;24;Chanteau;42.0;55.0
27118;68;24;Chantecoq;43.0;40.0
27119;68;24;La Chapelle-Onzerain;46.0;45.0
27120;68;24;La Chapelle-Saint-Mesmin;49.0;48.0
27121;68;24;La Chapelle-Saint-Sépulcre;24.0;35.0
27122;68;24;La Chapelle-sur-Aveyron;39.0;43.0
27123;68;24;Chapelon;45.0;42.0
27124;68;24;Le Charme;59.0;62.0
27125;68;24;Charmont-en-Beauce;39.0;45.0
27126;68;24;Charsonville;47.0;46.0
27127;68;24;Châteauneuf-sur-Loire;48.0;51.0
27128;68;24;Château-Renard;45.0;50.0
27129;68;24;Châtenoy;37.0;25.0
27130;68;24;Châtillon-Coligny;39.0;43.0
27131;68;24;Châtillon-le-Roi;35.0;50.0
27132;68;24;Châtillon-sur-Loire;45.0;29.0
27133;68;24;Chaussy;50.0;35.0
27134;68;24;Chécy;43.0;51.0
27135;68;24;Chevannes;35.0;43.0
27136;68;24;Chevillon-sur-Huillard;45.0;39.0
27137;68;24;Chevilly;42.0;43.0
27138;68;24;Chevry-sous-le-Bignon;30.0;46.0
27139;68;24;Chilleurs-aux-Bois;49.0;43.0
27140;68;24;Les Choux;40.0;42.0
27141;68;24;Chuelles;40.0;34.0
27142;68;24;Cléry-Saint-André;46.0;41.0
27143;68;24;Coinces;45.0;47.0
27144;68;24;Combleux;34.0;43.0
27145;68;24;Combreux;34.0;37.0
