;DEP;REG;nom_commune;score_acces_interface_numerique_region;score_acces_interface_numerique_departement;score_competence_administratives_region;score_competence_administratives_departement
308;1;84;Saint-Étienne-sur-Reyssouze;110.0;117.0;41.0;45.0
309;1;84;Sainte-Euphémie;62.0;66.0;43.0;47.0
310;1;84;Saint-Genis-Pouilly;66.0;70.0;53.0;58.0
311;1;84;Saint-Genis-sur-Menthon;85.0;90.0;41.0;44.0
312;1;84;Saint-Georges-sur-Renon;76.0;80.0;41.0;44.0
313;1;84;Saint-Germain-de-Joux;112.0;118.0;49.0;54.0
314;1;84;Saint-Germain-les-Paroisses;111.0;118.0;31.0;33.0
315;1;84;Saint-Germain-sur-Renon;114.0;120.0;34.0;37.0
316;1;84;Saint-Jean-de-Gonville;58.0;62.0;38.0;42.0
317;1;84;Saint-Jean-de-Niost;77.0;82.0;40.0;44.0
318;1;84;Saint-Jean-de-Thurigneux;67.0;71.0;36.0;39.0
319;1;84;Saint-Jean-le-Vieux;106.0;112.0;43.0;46.0
320;1;84;Saint-Jean-sur-Reyssouze;118.0;126.0;39.0;43.0
321;1;84;Saint-Jean-sur-Veyle;99.0;105.0;36.0;39.0
322;1;84;Sainte-Julie;62.0;66.0;37.0;40.0
323;1;84;Saint-Julien-sur-Reyssouze;116.0;123.0;34.0;37.0
324;1;84;Saint-Julien-sur-Veyle;82.0;87.0;39.0;43.0
325;1;84;Saint-Just;94.0;101.0;35.0;38.0
326;1;84;Saint-Laurent-sur-Saône;113.0;120.0;61.0;66.0
327;1;84;Saint-Marcel;56.0;59.0;55.0;60.0
328;1;84;Saint-Martin-de-Bavel;102.0;108.0;37.0;40.0
329;1;84;Saint-Martin-du-Frêne;108.0;114.0;45.0;49.0
330;1;84;Saint-Martin-du-Mont;86.0;92.0;40.0;44.0
331;1;84;Saint-Martin-le-Châtel;88.0;93.0;42.0;45.0
332;1;84;Saint-Maurice-de-Beynost;104.0;110.0;51.0;56.0
333;1;84;Saint-Maurice-de-Gourdans;72.0;77.0;42.0;46.0
